4073,1739554827.607548
1923,1739554827.607568
958,1739554827.607573
493,1739554827.607591
1089,1739554827.607595
1755,1739554827.607599
2580,1739554827.607603
3318,1739554827.607607
3785,1739554827.607611
4072,1739554827.607615
4045,1739554827.607619
3775,1739554827.607623
3252,1739554827.607627
2561,1739554827.607631
1736,1739554827.607635
1072,1739554827.607639
480,1739554827.607643
106,1739554827.607647
2,1739554827.607651
182,1739554827.607654
576,1739554827.607658
1259,1739554827.607662
2006,1739554827.607666
2699,1739554827.607670
3413,1739554827.607674
3847,1739554827.607678
4087,1739554827.607682
4030,1739554827.607686
3667,1739554827.607690
3095,1739554827.607694
2441,1739554827.607698
1552,1739554827.607702
911,1739554827.607706
366,1739554827.607710
55,1739554827.607714
20,1739554827.607718
268,1739554827.607722
762,1739554827.607726
1375,1739554827.607730
2130,1739554827.607734
2932,1739554827.607738
3547,1739554827.607742
3954,1739554827.607746
4095,1739554827.607750
3953,1739554827.607754
3588,1739554827.607758
2929,1739554827.607762
2255,1739554827.607766
1433,1739554827.607770
760,1739554827.607774
266,1739554827.607778
20,1739554827.607782
55,1739554827.607786
368,1739554827.607790
861,1739554827.607794
1617,1739554827.607798
2317,1739554827.607802
3098,1739554827.607806
3710,1739554827.607823
3209,1739554827.607827
2511,1739554827.607831
1748,1739554827.607835
1083,1739554827.607839
488,1739554827.607842
110,1739554827.607846
0,1739554827.607850
177,1739554827.607854
524,1739554827.607858
1132,1739554827.607862
1803,1739554827.607866
2502,1739554827.607869
3254,1739554827.607873
3810,1739554827.607877
4058,1739554827.607881
4072,1739554827.607885
3816,1739554827.607889
3365,1739554827.607893
2760,1739554827.607896
2007,1739554827.607900
1319,1739554827.607904
669,1739554827.607908
239,1739554827.607912
21,1739554827.607915
69,1739554827.607919
363,1739554827.607923
907,1739554827.607927
1547,1739554827.607931
2246,1739554827.607934
2979,1739554827.607938
3539,1739554827.607942
3925,1739554827.607946
1819,1739554827.607968
1034,1739554827.607972
1731,1739554827.607998
2680,1739554827.608003
3445,1739554827.608008
3992,1739554827.608013
4081,1739554827.608018
3753,1739554827.608023
3057,1739554827.608028
2143,1739554827.608033
1208,1739554827.608038
496,1739554827.608042
59,1739554827.608048
52,1739554827.608052
475,1739554827.608057
1179,1739554827.608062
2110,1739554827.608067
3028,1739554827.608072
3698,1739554827.608077
4068,1739554827.608082
4002,1739554827.608087
3514,1739554827.608092
2711,1739554827.608097
1764,1739554827.608102
878,1739554827.608107
245,1739554827.608111
0,1739554827.608116
226,1739554827.608122
794,1739554827.608126
1661,1739554827.608131
2611,1739554827.608136
3440,1739554827.608141
3945,1739554827.608146
4088,1739554827.608151
3792,1739554827.608156
3173,1739554827.608161
2278,1739554827.608166
1274,1739554827.608171
544,1739554827.608176
78,1739554827.608181
37,1739554827.608186
430,1739554827.608190
1114,1739554827.608195
1974,1739554827.608200
3021,1739554827.608205
3693,1739554827.608210
4066,1739554827.608215
4004,1739554827.608220
3520,1739554827.608225
2778,1739554827.608230
1835,1739554827.608235
938,1739554827.608240
280,1739554827.608245
0,1739554827.608250
168,1739554827.608254
788,1739554827.608260
1653,1739554827.608265
2603,1739554827.608269
3434,1739554827.608274
3942,1739554827.608279
4089,1739554827.608284
3796,1739554827.608289
3125,1739554827.608294
2222,1739554827.608299
1341,1739554827.608304
506,1739554827.608309
80,1739554827.608314
35,1739554827.608319
425,1739554827.608324
1107,1739554827.608328
2094,1739554827.608334
2957,1739554827.608338
3726,1739554827.608343
4065,1739554827.608348
4007,1739554827.608353
3569,1739554827.608358
2726,1739554827.608363
1779,1739554827.608368
944,1739554827.608373
284,1739554827.608378
4,1739554827.608383
140,1739554827.608387
683,1739554827.608392
1459,1739554827.608397
2534,1739554827.608402
3331,1739554827.608407
3913,1739554827.608412
4094,1739554827.608417
3832,1739554827.608422
3186,1739554827.608427
2420,1739554827.608432
1409,1739554827.608437
599,1739554827.608442
122,1739554827.608446
14,1739554827.608451
346,1739554827.608456
1044,1739554827.608461
1895,1739554827.608466
3277,1739554827.608474
1598,1739554827.608502
744,1739554827.608508
2649,1739554827.608536
3642,1739554827.608543
4082,1739554827.608549
3947,1739554827.608554
3245,1739554827.608560
7,1739554827.608584
3466,1739554827.608608
3958,1739554827.608613
654,1739554827.608641
86,1739554827.608647
44,1739554827.608652
535,1739554827.608658
1505,1739554827.608664
2580,1739554827.608670
3251,1739554827.608693
2373,1739554827.608698
91,1739554827.608720
533,1739554827.608725
1201,1739554827.608729
2007,1739554827.608733
2819,1739554827.608737
3506,1739554827.608742
3978,1739554827.608746
4094,1739554827.608751
3872,1739554827.608755
3306,1739554827.608760
2565,1739554827.608764
1740,1739554827.608768
1019,1739554827.608773
366,1739554827.608777
29,1739554827.608782
56,1739554827.608786
447,1739554827.608791
1139,1739554827.608795
1939,1739554827.608799
2695,1739554827.608804
3503,1739554827.608809
3954,1739554827.608813
4094,1739554827.608817
3902,1739554827.608821
3359,1739554827.608826
2630,1739554827.608830
1807,1739554827.608835
914,1739554827.608840
368,1739554827.608844
30,1739554827.608848
42,1739554827.608852
3975,1739554827.608880
483,1739554827.608924
1803,1739554827.608932
3955,1739554827.608954
3506,1739554827.608958
262,1739554827.608989
855,1739554827.608994
3849,1739554827.609022
3108,1739554827.609028
2138,1739554827.609033
1033,1739554827.609039
304,1739554827.609044
2,1739554827.609050
201,1739554827.609055
904,1739554827.609061
1859,1739554827.609066
2976,1739554827.609072
3737,1739554827.609077
4091,1739554827.609083
3908,1739554827.609088
3219,1739554827.609093
2333,1739554827.609099
1208,1739554827.609104
415,1739554827.609110
14,1739554827.609115
148,1739554827.609121
797,1739554827.609126
1728,1739554827.609132
2737,1739554827.609137
3619,1739554827.609143
4068,1739554827.609149
3960,1739554827.609154
3374,1739554827.609159
2400,1739554827.609165
1390,1739554827.609170
1788,1739554827.609199
2853,1739554827.609205
3696,1739554827.609210
778,1739554827.609240
96,1739554827.609247
122,1739554827.609254
842,1739554827.609260
1975,1739554827.609267
3132,1739554827.609273
3944,1739554827.609279
4064,1739554827.609285
3520,1739554827.609292
2345,1739554827.609298
1160,1739554827.609305
1780,1739554827.609332
2845,1739554827.609338
3728,1739554827.609344
4093,1739554827.609349
3859,1739554827.609355
3070,1739554827.609361
1902,1739554827.609367
887,1739554827.609373
166,1739554827.609379
25,1739554827.609385
465,1739554827.609391
1402,1739554827.609397
2538,1739554827.609403
3523,1739554827.609409
4039,1739554827.609414
3987,1739554827.609420
3337,1739554827.609426
2289,1739554827.609432
1110,1739554827.609438
317,1739554827.609444
1,1739554827.609450
280,1739554827.609456
1104,1739554827.609462
2219,1739554827.609468
3886,1739554827.609479
4066,1739554827.609485
37,1739554827.609515
189,1739554827.609521
1044,1739554827.609528
2215,1739554827.609534
3328,1739554827.609541
2234,1739554827.609566
1117,1739554827.609572
288,1739554827.609578
3,1739554827.609584
